Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 14 p6_1.tif,3,105,35,6.562,255
tumour pic day 14 p6_2.tif,2,164,82,10.250,255
tumour pic day 14 p6_3.tif,1,41,41,2.562,255
tumour pic day 14 p6_4.tif,1,69,69,4.312,255
tumour pic day 14 p6_5.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p6_6.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p6_7.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p6_8.tif,1,21,21,1.312,255
tumour pic day 14 p6_9.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p6_10.tif,1,1,1,0.062,255
tumour pic day 14 p6_11.tif,1,9,9,0.562,255
tumour pic day 14 p6_12.tif,0,0,NaN,0.000,NaN
