Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 9 p3_1.tif,1,385,385.000,24.062,255
tumour pic day 9 p3_2.tif,2,12,6.000,0.750,255
tumour pic day 9 p3_3.tif,1,671,671.000,41.938,255
tumour pic day 9 p3_4.tif,3,489,163.000,30.562,255
tumour pic day 9 p3_5.tif,2,537,268.500,33.562,255
tumour pic day 9 p3_6.tif,4,431,107.750,26.938,255
tumour pic day 9 p3_7.tif,1,262,262.000,16.375,255
tumour pic day 9 p3_8.tif,1,252,252.000,15.750,255
tumour pic day 9 p3_9.tif,2,490,245.000,30.625,255
tumour pic day 9 p3_10.tif,2,602,301.000,37.625,255
tumour pic day 9 p3_11.tif,4,218,54.500,13.625,255
tumour pic day 9 p3_12.tif,3,516,172.000,32.250,255
