"V1" "V2"
"1" 1 NA
"2" 2 4.0327911161
"3" 3 5.2307431161
"4" 4 5.0781343161
"5" 5 3.4174967161
"6" 6 4.1461951161
"7" 7 6.4426927161
"8" 8 10.9319447161
"9" 9 5.1762831161
"10" 10 8.3417815161
"11" 11 0.6220975161
"12" 12 3.0064463161
"13" 13 10.4750495161
"14" 14 4.4709343161
"15" 15 NA
"16" 16 5.3695055161
"17" 17 5.6626471161
"18" 18 5.1508943161
"19" 19 2.1814967161
"20" 20 4.4959895161
"21" 21 8.3596063161
"22" 22 15.5609447161
"23" 23 4.2896999161
"24" 24 NA
"25" 25 13.2197959161
"26" 26 5.5452903161
"27" 27 5.4790847161
"28" 28 2.6724383161
"29" 29 6.0461343161
"30" 30 5.4704487161
"31" 31 4.7281975161
"32" 32 2.5863415161
"33" 33 4.1338903161
"34" 34 12.1141055161
"35" 35 8.5297319161
"36" 36 8.2272903161
"37" 37 0.9721431161
"38" 38 6.2291431161
"39" 39 11.2335991161
"40" 40 0.4567935161
"41" 41 11.4422863161
"42" 42 NA
"43" 43 12.3125575161
"44" 44 6.5160959161
"45" 45 NA
"46" 46 3.5305495161
"47" 47 9.9366855161
"48" 48 NA
"49" 49 2.6914503161
"50" 50 6.2211047161
"51" 51 9.9313263161
"52" 52 4.8221975161
"53" 53 NA
"54" 54 3.6965343161
"55" 55 16.7365375161
"56" 56 4.4970375161
"57" 57 5.9091503161
"58" 58 4.7612959161
"59" 59 9.6489967161
"60" 60 8.7349303161
"61" 61 NA
"62" 62 NA
"63" 63 10.8065295161
"64" 64 9.4764839161
"65" 65 4.7607471161
"66" 66 1.1638407161
"67" 67 8.6190847161
"68" 68 3.6206463161
"69" 69 4.6475463161
"70" 70 7.2201975161
"71" 71 1.9959399161
"72" 72 9.6416015161
"73" 73 6.4870815161
"74" 74 4.4371903161
"75" 75 3.5785439161
"76" 76 NA
"77" 77 5.4584375161
"78" 78 0.6576919161
"79" 79 1.5453407161
"80" 80 7.9294919161
"81" 81 11.3417087161
"82" 82 2.5538423161
"83" 83 4.7202447161
"84" 84 7.3168439161
"85" 85 8.2386335161
"86" 86 2.9993031161
"87" 87 7.9543959161
"88" 88 NA
"89" 89 5.3905511161
"90" 90 NA
"91" 91 11.0244831161
"92" 92 3.4001463161
"93" 93 4.4173543161
"94" 94 NA
"95" 95 8.5183967161
"96" 96 2.6276327161
"97" 97 6.8890503161
"98" 98 7.5996991161
"99" 99 5.5584015161
"100" 100 7.6201335161
"101" 101 NA
"102" 102 1.0329911161
"103" 103 17.6489567161
"104" 104 8.9235311161
"105" 105 6.3909479161
"106" 106 3.0202487161
"107" 107 6.9670951161
"108" 108 12.6058455161
"109" 109 2.8766871161
"110" 110 0.2645415161
"111" 111 7.4610407161
"112" 112 NA
"113" 113 6.7383983161
"114" 114 4.1830511161
"115" 115 7.0371431161
"116" 116 NA
"117" 117 4.5051423161
"118" 118 12.2490359161
"119" 119 4.7810503161
"120" 120 12.4928063161
"121" 121 9.3749895161
"122" 122 5.1089055161
"123" 123 11.1254415161
"124" 124 4.4495479161
"125" 125 0.6338895161
"126" 126 4.9942439161
"127" 127 7.6844391161
"128" 128 2.0284431161
"129" 129 NA
"130" 130 4.2775439161
"131" 131 10.0503919161
"132" 132 15.9037415161
"133" 133 0.5717983161
"134" 134 1.9866935161
"135" 135 5.3957943161
"136" 136 12.8743207161
"137" 137 4.7716023161
"138" 138 5.8824871161
"139" 139 10.3079375161
"140" 140 5.2954999161
"141" 141 11.0515311161
"142" 142 11.4677311161
"143" 143 4.4187535161
"144" 144 NA
"145" 145 10.4722631161
"146" 146 3.9609487161
"147" 147 6.6718423161
"148" 148 NA
"149" 149 11.7363335161
"150" 150 12.5268015161
"151" 151 15.9443055161
"152" 152 NA
"153" 153 1.6833439161
"154" 154 6.1571431161
"155" 155 12.2927007161
"156" 156 NA
"157" 157 NA
"158" 158 5.0807007161
"159" 159 7.5467863161
"160" 160 10.8043943161
"161" 161 3.7502463161
"162" 162 2.8496479161
"163" 163 2.3719967161
"164" 164 3.6521479161
"165" 165 5.2901991161
"166" 166 4.5206911161
"167" 167 9.6125551161
"168" 168 NA
"169" 169 11.9869063161
"170" 170 4.1405887161
"171" 171 0.6910903161
"172" 172 6.2650023161
"173" 173 NA
"174" 174 5.6320511161
"175" 175 NA
"176" 176 2.5593959161
"177" 177 3.4076423161
"178" 178 4.5135359161
"179" 179 6.9477959161
"180" 180 4.5083959161
"181" 181 10.1508487161
"182" 182 5.4015487161
"183" 183 5.8341063161
"184" 184 3.1522879161
"185" 185 9.4087031161
"186" 186 NA
"187" 187 5.4252823161
"188" 188 4.7106367161
"189" 189 5.1730983161
"190" 190 NA
"191" 191 6.6399359161
"192" 192 NA
"193" 193 5.0712567161
"194" 194 3.9040855161
"195" 195 5.6262503161
"196" 196 0.8281431161
"197" 197 3.3584391161
"198" 198 NA
"199" 199 4.5091495161
"200" 200 0.8566455161
"201" 201 4.2407447161
"202" 202 3.6289943161
"203" 203 6.3626023161
"204" 204 4.2184991161
"205" 205 2.0152847161
"206" 206 14.1600759161
"207" 207 10.8419831161
"208" 208 3.4905503161
"209" 209 13.4750343161
"210" 210 2.1415383161
"211" 211 4.3530935161
"212" 212 NA
"213" 213 4.0995343161
"214" 214 6.2248887161
"215" 215 11.9218887161
"216" 216 8.3603847161
"217" 217 NA
"218" 218 6.4391039161
"219" 219 10.6077351161
"220" 220 13.2764247161
"221" 221 4.3834567161
"222" 222 NA
"223" 223 14.1534055161
"224" 224 4.3272479161
"225" 225 5.5409975161
"226" 226 10.5443943161
"227" 227 5.6264807161
"228" 228 10.4020911161
"229" 229 10.1224847161
"230" 230 5.0389055161
"231" 231 4.2234015161
"232" 232 7.7859391161
"233" 233 3.9455959161
"234" 234 14.5383423161
"235" 235 13.6957439161
"236" 236 4.3598351161
"237" 237 3.5766455161
"238" 238 2.8099455161
"239" 239 4.7896999161
"240" 240 4.8139463161
"241" 241 11.1880287161
"242" 242 3.1851855161
"243" 243 NA
"244" 244 5.4333999161
"245" 245 0.1904423161
"246" 246 12.5010399161
"247" 247 NA
"248" 248 5.9698527161
"249" 249 2.4666903161
"250" 250 NA
"251" 251 12.8689383161
"252" 252 5.0430919161
"253" 253 NA
"254" 254 10.7181815161
"255" 255 11.1328319161
"256" 256 2.8881975161
