Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 14 p5_1.tif,5,254,50.800,15.875,255
tumour pic day 14 p5_2.tif,2,168,84.000,10.500,255
tumour pic day 14 p5_3.tif,3,260,86.667,16.250,255
tumour pic day 14 p5_4.tif,3,207,69.000,12.938,255
tumour pic day 14 p5_5.tif,2,313,156.500,19.562,255
tumour pic day 14 p5_6.tif,4,256,64.000,16.000,255
tumour pic day 14 p5_7.tif,3,126,42.000,7.875,255
tumour pic day 14 p5_8.tif,2,115,57.500,7.188,255
tumour pic day 14 p5_9.tif,2,61,30.500,3.812,255
tumour pic day 14 p5_10.tif,1,23,23.000,1.438,255
tumour pic day 14 p5_11.tif,2,32,16.000,2.000,255
tumour pic day 14 p5_12.tif,2,115,57.500,7.188,255
