Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 12 p7_1.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_2.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_3.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_4.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_5.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_6.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_7.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_8.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_9.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_10.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_11.tif,0,0,NaN,0,NaN
tumour pic day 12 p7_12.tif,0,0,NaN,0,NaN
