Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 9 p2_1.tif,1,1260,1260.000,78.750,255
tumour pic day 9 p2_2.tif,1,1238,1238.000,77.375,255
tumour pic day 9 p2_3.tif,2,1011,505.500,63.188,255
tumour pic day 9 p2_4.tif,1,1222,1222.000,76.375,255
tumour pic day 9 p2_5.tif,2,1269,634.500,79.312,255
tumour pic day 9 p2_6.tif,1,1448,1448.000,90.500,255
tumour pic day 9 p2_7.tif,1,1452,1452.000,90.750,255
tumour pic day 9 p2_8.tif,1,1525,1525.000,95.312,255
tumour pic day 9 p2_9.tif,1,1600,1600.000,100.000,255
tumour pic day 9 p2_10.tif,1,1580,1580.000,98.750,255
tumour pic day 9 p2_11.tif,1,1597,1597.000,99.812,255
tumour pic day 9 p2_12.tif,1,1455,1455.000,90.938,255
