Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t3 -40um pt2_1.png,0,0,NaN,0.000,NaN
pattern glioma t3 -40um pt2_2.png,0,0,NaN,0.000,NaN
pattern glioma t3 -40um pt2_3.png,0,0,NaN,0.000,NaN
pattern glioma t3 -40um pt2_4.png,0,0,NaN,0.000,NaN
pattern glioma t3 -40um pt2_5.png,1,17,17,1.062,255
pattern glioma t3 -40um pt2_6.png,0,0,NaN,0.000,NaN
pattern glioma t3 -40um pt2_7.png,0,0,NaN,0.000,NaN
pattern glioma t3 -40um pt2_8.png,0,0,NaN,0.000,NaN
pattern glioma t3 -40um pt2_9.png,1,8,8,0.500,255
pattern glioma t3 -40um pt2_10.png,0,0,NaN,0.000,NaN
