Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t1 -40um pt1_1.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt1_2.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt1_3.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt1_4.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt1_5.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt1_6.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt1_7.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt1_8.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt1_9.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt1_10.tif,0,0,NaN,0,NaN
