Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t1 -40um pt10_1.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt10_2.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt10_3.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt10_4.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt10_5.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt10_6.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt10_7.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt10_8.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt10_9.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt10_10.tif,0,0,NaN,0,NaN
