"fitted.vals.predict.prop.prof.inter.only" "fitted.vals.predict.prop.prof.linear" "fitted.vals.predict.prop.prof.quad"
"1" 0.593774158377858 0.688268234994527 -0.184410273435221
"2" 0.593774158377858 0.687953254739139 -0.177257619025618
"3" 0.593774158377858 0.68763827448375 -0.170129898287684
"4" 0.593774158377858 0.687323294228361 -0.16302711122142
"5" 0.593774158377858 0.687008313972972 -0.155949257826826
"6" 0.593774158377858 0.686693333717583 -0.148896338103901
"7" 0.593774158377858 0.686378353462194 -0.141868352052645
"8" 0.593774158377858 0.686063373206805 -0.134865299673059
"9" 0.593774158377858 0.685748392951416 -0.127887180965142
"10" 0.593774158377858 0.685433412696027 -0.120933995928894
"11" 0.593774158377858 0.685118432440639 -0.114005744564316
"12" 0.593774158377858 0.68480345218525 -0.107102426871408
"13" 0.593774158377858 0.684488471929861 -0.100224042850169
"14" 0.593774158377858 0.684173491674472 -0.0933705925005988
"15" 0.593774158377858 0.683858511419083 -0.0865420758226985
"16" 0.593774158377858 0.683543531163694 -0.0797384928164676
"17" 0.593774158377858 0.683228550908305 -0.0729598434819061
"18" 0.593774158377858 0.682913570652916 -0.066206127819014
"19" 0.593774158377858 0.682598590397527 -0.0594773458277914
"20" 0.593774158377858 0.682283610142138 -0.0527734975082381
"21" 0.593774158377858 0.681968629886749 -0.0460945828603543
"22" 0.593774158377858 0.681653649631361 -0.0394406018841399
"23" 0.593774158377858 0.681338669375972 -0.032811554579595
"24" 0.593774158377858 0.681023689120583 -0.0262074409467194
"25" 0.593774158377858 0.680708708865194 -0.0196282609855133
"26" 0.593774158377858 0.680393728609805 -0.0130740146959766
"27" 0.593774158377858 0.680078748354416 -0.00654470207810932
"28" 0.593774158377858 0.679763768099027 -4.03231319114593e-05
"29" 0.593774158377858 0.679448787843638 0.00643912214261701
"30" 0.593774158377858 0.679133807588249 0.012893633745476
"31" 0.593774158377858 0.67881882733286 0.0193232116766656
"32" 0.593774158377858 0.678503847077472 0.0257278559361858
"33" 0.593774158377858 0.678188866822083 0.0321075665240365
"34" 0.593774158377858 0.677873886566694 0.0384623434402178
"35" 0.593774158377858 0.677558906311305 0.0447921866847298
"36" 0.593774158377858 0.677243926055916 0.0510970962575723
"37" 0.593774158377858 0.676928945800527 0.0573770721587453
"38" 0.593774158377858 0.676613965545138 0.0636321143882489
"39" 0.593774158377858 0.676298985289749 0.0698622229460832
"40" 0.593774158377858 0.67598400503436 0.076067397832248
"41" 0.593774158377858 0.675669024778972 0.0822476390467434
"42" 0.593774158377858 0.675354044523583 0.0884029465895693
"43" 0.593774158377858 0.675039064268194 0.0945333204607259
"44" 0.593774158377858 0.674724084012805 0.100638760660213
"45" 0.593774158377858 0.674409103757416 0.106719267188031
"46" 0.593774158377858 0.674094123502027 0.112774840044179
"47" 0.593774158377858 0.673779143246638 0.118805479228658
"48" 0.593774158377858 0.673464162991249 0.124811184741467
"49" 0.593774158377858 0.67314918273586 0.130791956582607
"50" 0.593774158377858 0.672834202480471 0.136747794752078
"51" 0.593774158377858 0.672519222225083 0.142678699249879
"52" 0.593774158377858 0.672204241969694 0.148584670076011
"53" 0.593774158377858 0.671889261714305 0.154465707230473
"54" 0.593774158377858 0.671574281458916 0.160321810713266
"55" 0.593774158377858 0.671259301203527 0.166152980524389
"56" 0.593774158377858 0.670944320948138 0.171959216663844
"57" 0.593774158377858 0.670629340692749 0.177740519131628
"58" 0.593774158377858 0.67031436043736 0.183496887927743
"59" 0.593774158377858 0.669999380181971 0.189228323052189
"60" 0.593774158377858 0.669684399926582 0.194934824504965
"61" 0.593774158377858 0.669369419671193 0.200616392286072
"62" 0.593774158377858 0.669054439415805 0.20627302639551
"63" 0.593774158377858 0.668739459160416 0.211904726833278
"64" 0.593774158377858 0.668424478905027 0.217511493599377
"65" 0.593774158377858 0.668109498649638 0.223093326693806
"66" 0.593774158377858 0.667794518394249 0.228650226116566
"67" 0.593774158377858 0.66747953813886 0.234182191867656
"68" 0.593774158377858 0.667164557883471 0.239689223947077
"69" 0.593774158377858 0.666849577628082 0.245171322354829
"70" 0.593774158377858 0.666534597372693 0.250628487090911
"71" 0.593774158377858 0.666219617117304 0.256060718155324
