"fitted.vals.predict.prop.ex.inter.only" "fitted.vals.predict.prop.ex.linear" "fitted.vals.predict.prop.ex.quad"
"1" 0.0550627125335046 0.0518160824454216 0.039599878763451
"2" 0.0550627125335046 0.0518269045457152 0.0397152366638232
"3" 0.0550627125335046 0.0518377266460088 0.0398302455298045
"4" 0.0550627125335046 0.0518485487463024 0.0399449053613948
"5" 0.0550627125335046 0.051859370846596 0.0400592161585943
"6" 0.0550627125335046 0.0518701929468896 0.0401731779214028
"7" 0.0550627125335046 0.0518810150471832 0.0402867906498204
"8" 0.0550627125335046 0.0518918371474769 0.0404000543438471
"9" 0.0550627125335046 0.0519026592477705 0.0405129690034829
"10" 0.0550627125335046 0.0519134813480641 0.0406255346287278
"11" 0.0550627125335046 0.0519243034483577 0.0407377512195818
"12" 0.0550627125335046 0.0519351255486513 0.0408496187760448
"13" 0.0550627125335046 0.0519459476489449 0.0409611372981169
"14" 0.0550627125335046 0.0519567697492385 0.0410723067857982
"15" 0.0550627125335046 0.0519675918495321 0.0411831272390885
"16" 0.0550627125335046 0.0519784139498257 0.0412935986579879
"17" 0.0550627125335046 0.0519892360501193 0.0414037210424964
"18" 0.0550627125335046 0.052000058150413 0.0415134943926139
"19" 0.0550627125335046 0.0520108802507066 0.0416229187083406
"20" 0.0550627125335046 0.0520217023510002 0.0417319939896763
"21" 0.0550627125335046 0.0520325244512938 0.0418407202366212
"22" 0.0550627125335046 0.0520433465515874 0.0419490974491751
"23" 0.0550627125335046 0.052054168651881 0.0420571256273381
"24" 0.0550627125335046 0.0520649907521746 0.0421648047711102
"25" 0.0550627125335046 0.0520758128524682 0.0422721348804914
"26" 0.0550627125335046 0.0520866349527618 0.0423791159554816
"27" 0.0550627125335046 0.0520974570530554 0.042485747996081
"28" 0.0550627125335046 0.0521082791533491 0.0425920310022894
"29" 0.0550627125335046 0.0521191012536427 0.0426979649741069
"30" 0.0550627125335046 0.0521299233539363 0.0428035499115336
"31" 0.0550627125335046 0.0521407454542299 0.0429087858145693
"32" 0.0550627125335046 0.0521515675545235 0.043013672683214
"33" 0.0550627125335046 0.0521623896548171 0.0431182105174679
"34" 0.0550627125335046 0.0521732117551107 0.0432223993173309
"35" 0.0550627125335046 0.0521840338554043 0.0433262390828029
"36" 0.0550627125335046 0.0521948559556979 0.043429729813884
"37" 0.0550627125335046 0.0522056780559916 0.0435328715105743
"38" 0.0550627125335046 0.0522165001562852 0.0436356641728736
"39" 0.0550627125335046 0.0522273222565788 0.0437381078007819
"40" 0.0550627125335046 0.0522381443568724 0.0438402023942994
"41" 0.0550627125335046 0.052248966457166 0.043941947953426
