"V1" "V2"
"1" 1 6.4117032181
"2" 2 4.4625669681
"3" 3 7.5911644681
"4" 4 5.2135894681
"5" 5 8.1374957181
"6" 6 NA
"7" 7 4.4577994681
"8" 8 6.7087282181
"9" 9 5.1982019681
"10" 10 6.2292857181
"11" 11 6.5829582181
"12" 12 6.9176519681
"13" 13 4.5403832181
"14" 14 8.4065494681
"15" 15 6.4712419681
"16" 16 4.8581969681
"17" 17 7.0957669681
"18" 18 NA
"19" 19 6.7328169681
"20" 20 NA
"21" 21 6.5188957181
"22" 22 NA
"23" 23 7.6313107181
"24" 24 NA
"25" 25 7.2370194681
"26" 26 5.9620844681
"27" 27 8.1976494681
"28" 28 4.8422669681
"29" 29 5.8106207181
"30" 30 6.3289819681
"31" 31 5.4025607181
"32" 32 6.9154782181
"33" 33 6.1746882181
"34" 34 4.0396044681
"35" 35 5.9828132181
"36" 36 5.4644357181
"37" 37 5.8836719681
"38" 38 6.8959919681
"39" 39 NA
"40" 40 8.9593594681
"41" 41 NA
"42" 42 5.8389032181
"43" 43 6.9372457181
"44" 44 5.7041194681
"45" 45 5.0862482181
"46" 46 NA
"47" 47 6.3245957181
"48" 48 NA
"49" 49 7.4181294681
"50" 50 5.4407582181
"51" 51 7.8059269681
"52" 52 4.5161757181
"53" 53 7.2113882181
"54" 54 5.4581032181
"55" 55 4.7937432181
"56" 56 7.1024719681
"57" 57 3.9867094681
"58" 58 NA
"59" 59 5.1905394681
"60" 60 6.6606132181
"61" 61 NA
"62" 62 6.8467857181
"63" 63 5.2374082181
"64" 64 4.6779669681
"65" 65 6.4478019681
"66" 66 8.6860782181
"67" 67 5.9485794681
"68" 68 5.0444494681
"69" 69 6.1106219681
"70" 70 4.4713969681
"71" 71 4.3120269681
"72" 72 5.6809419681
"73" 73 6.3448294681
"74" 74 5.5438907181
"75" 75 8.4174844681
"76" 76 5.2792194681
"77" 77 5.8038832181
"78" 78 6.1549094681
"79" 79 5.2002269681
"80" 80 6.0078744681
"81" 81 5.2295319681
"82" 82 4.8888869681
"83" 83 NA
"84" 84 7.0994382181
"85" 85 6.7472719681
"86" 86 7.0693519681
"87" 87 7.5271732181
"88" 88 5.1109407181
"89" 89 7.9960894681
"90" 90 5.8849907181
"91" 91 6.9254557181
"92" 92 7.3444394681
"93" 93 6.4260769681
"94" 94 4.4042932181
"95" 95 4.3477157181
"96" 96 6.2374957181
"97" 97 7.9887369681
"98" 98 7.4406932181
"99" 99 4.8521057181
"100" 100 4.0660082181
"101" 101 5.6518719681
"102" 102 6.5117807181
"103" 103 9.1838157181
"104" 104 7.5658594681
"105" 105 8.3922432181
"106" 106 7.5607719681
"107" 107 NA
"108" 108 5.4323332181
"109" 109 6.1329557181
"110" 110 5.6321869681
"111" 111 5.6603032181
"112" 112 7.3459982181
"113" 113 5.3531969681
"114" 114 5.2293707181
"115" 115 NA
"116" 116 8.1023244681
"117" 117 4.1569444681
"118" 118 6.1098469681
"119" 119 6.5010069681
"120" 120 5.3743757181
"121" 121 5.2682557181
"122" 122 6.5405982181
"123" 123 NA
"124" 124 NA
"125" 125 5.6105557181
"126" 126 6.8730419681
"127" 127 5.9468719681
"128" 128 5.6853132181
"129" 129 6.1259969681
"130" 130 6.7138282181
"131" 131 6.5659269681
"132" 132 6.6666369681
"133" 133 5.2296069681
"134" 134 4.5988207181
"135" 135 7.5753807181
"136" 136 7.0809219681
"137" 137 4.2226482181
"138" 138 6.1656169681
"139" 139 4.9831844681
"140" 140 5.6442107181
"141" 141 4.4831019681
"142" 142 5.7949894681
"143" 143 6.1334369681
"144" 144 7.6272532181
"145" 145 5.7848432181
"146" 146 5.7938307181
"147" 147 4.7520994681
"148" 148 10.0158244681
"149" 149 5.2064719681
"150" 150 7.8268107181
"151" 151 NA
"152" 152 6.8398282181
"153" 153 5.6363182181
"154" 154 6.5021832181
"155" 155 7.7557794681
"156" 156 6.4045232181
"157" 157 5.5006194681
"158" 158 6.5403069681
"159" 159 NA
"160" 160 6.6158557181
"161" 161 5.1129544681
"162" 162 7.0417132181
"163" 163 7.4241844681
"164" 164 8.3812257181
"165" 165 9.0484982181
"166" 166 5.4214757181
"167" 167 NA
"168" 168 6.0456969681
"169" 169 NA
"170" 170 4.7808544681
"171" 171 4.2803144681
"172" 172 5.5206069681
"173" 173 5.8592832181
"174" 174 9.1010132181
"175" 175 7.3980469681
"176" 176 5.4559369681
"177" 177 6.4807132181
"178" 178 7.5288182181
"179" 179 5.1432869681
"180" 180 4.9810032181
"181" 181 4.7510757181
"182" 182 5.5406894681
"183" 183 5.8249069681
"184" 184 5.3665582181
"185" 185 NA
"186" 186 7.2466344681
"187" 187 5.6651482181
"188" 188 6.1805444681
"189" 189 6.9754682181
"190" 190 5.6940507181
"191" 191 4.5038069681
"192" 192 6.2609182181
"193" 193 7.4013957181
"194" 194 5.1895232181
"195" 195 5.3813257181
"196" 196 7.6048307181
"197" 197 NA
"198" 198 5.7490457181
"199" 199 NA
"200" 200 5.4624844681
"201" 201 5.5919444681
"202" 202 NA
"203" 203 4.2143694681
"204" 204 4.4161594681
"205" 205 5.8388919681
"206" 206 5.9803744681
"207" 207 7.0888094681
"208" 208 NA
"209" 209 NA
"210" 210 6.9828819681
"211" 211 5.6370344681
"212" 212 5.0491494681
"213" 213 6.7006207181
"214" 214 7.7160769681
"215" 215 5.2597482181
"216" 216 6.5970219681
"217" 217 5.5774957181
"218" 218 NA
"219" 219 NA
"220" 220 5.2845269681
"221" 221 9.2953857181
"222" 222 6.2098357181
"223" 223 4.0885844681
"224" 224 NA
"225" 225 7.6427969681
"226" 226 6.1864807181
"227" 227 4.0494432181
"228" 228 5.7060007181
"229" 229 5.3442032181
"230" 230 5.9307769681
"231" 231 NA
"232" 232 9.5424907181
"233" 233 7.3779519681
"234" 234 4.8693807181
"235" 235 8.3150582181
"236" 236 NA
"237" 237 NA
"238" 238 5.9273294681
"239" 239 5.6228732181
"240" 240 4.3099907181
"241" 241 NA
"242" 242 5.3492932181
"243" 243 5.2637307181
"244" 244 5.9597669681
"245" 245 7.4771744681
"246" 246 5.0607894681
"247" 247 5.9886644681
"248" 248 5.3975782181
"249" 249 5.2364769681
"250" 250 5.0208407181
"251" 251 4.2903019681
"252" 252 7.9519482181
"253" 253 NA
"254" 254 NA
"255" 255 6.1838132181
"256" 256 6.6892932181
"257" 257 6.0792119681
"258" 258 5.3803032181
"259" 259 7.3749232181
"260" 260 4.6940519681
"261" 261 6.1200757181
"262" 262 NA
"263" 263 6.4222582181
"264" 264 6.5099832181
"265" 265 5.0443744681
"266" 266 7.4208644681
"267" 267 5.6445269681
"268" 268 NA
"269" 269 5.3581782181
"270" 270 14.4161457181
"271" 271 5.9073307181
"272" 272 3.9297632181
"273" 273 6.8459132181
"274" 274 4.9010907181
"275" 275 6.5088907181
"276" 276 5.8260057181
"277" 277 5.0439707181
"278" 278 NA
"279" 279 6.8182707181
"280" 280 9.2424882181
"281" 281 NA
"282" 282 10.6079632181
"283" 283 5.3137507181
"284" 284 4.2140544681
"285" 285 5.0857894681
"286" 286 6.8373444681
"287" 287 6.6698357181
"288" 288 5.3483519681
"289" 289 8.1870332181
"290" 290 5.5275719681
"291" 291 9.3521957181
"292" 292 4.6039582181
"293" 293 6.0180482181
"294" 294 9.4683294681
"295" 295 4.5799157181
"296" 296 7.2149107181
"297" 297 5.5837219681
"298" 298 NA
"299" 299 6.2233507181
"300" 300 7.9587419681
"301" 301 4.9992819681
"302" 302 6.6531794681
"303" 303 4.4398357181
"304" 304 4.4922632181
"305" 305 6.5882794681
"306" 306 NA
"307" 307 5.2317157181
"308" 308 3.9426482181
"309" 309 6.2319257181
"310" 310 7.2177144681
"311" 311 5.0654594681
"312" 312 NA
"313" 313 4.9930419681
"314" 314 5.5788307181
"315" 315 9.5108619681
"316" 316 6.0761607181
"317" 317 8.1019532181
"318" 318 NA
"319" 319 8.4435032181
"320" 320 6.0224832181
"321" 321 4.9468557181
"322" 322 5.0149019681
"323" 323 5.8588957181
"324" 324 10.6133694681
"325" 325 5.4451494681
"326" 326 5.4186019681
"327" 327 4.6603182181
"328" 328 7.6699982181
"329" 329 5.3793107181
"330" 330 6.7105244681
"331" 331 5.0674932181
"332" 332 6.4033557181
"333" 333 4.4865707181
"334" 334 7.9672607181
"335" 335 4.6796707181
"336" 336 8.5960857181
"337" 337 8.7975832181
"338" 338 5.4862232181
"339" 339 9.5299069681
"340" 340 6.3434369681
"341" 341 5.7004494681
"342" 342 7.6073257181
"343" 343 6.7629532181
"344" 344 6.5359994681
"345" 345 8.4660032181
"346" 346 7.3527257181
"347" 347 5.9027219681
"348" 348 6.8685882181
"349" 349 6.2542932181
"350" 350 6.5524969681
"351" 351 6.1365594681
"352" 352 7.8414707181
"353" 353 6.0029569681
"354" 354 4.7739732181
"355" 355 4.3576557181
"356" 356 8.6020932181
"357" 357 6.8702944681
"358" 358 4.4843732181
"359" 359 7.2410219681
"360" 360 5.4784932181
"361" 361 6.3646169681
"362" 362 5.7714157181
"363" 363 5.9085094681
"364" 364 5.5280332181
"365" 365 6.8085169681
"366" 366 6.2064594681
"367" 367 9.4314869681
"368" 368 4.6805457181
"369" 369 4.3596832181
"370" 370 5.3217119681
