Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 12 p4_1.tif,3,122,40.667,7.625,255
tumour pic day 12 p4_2.tif,2,49,24.500,3.062,255
tumour pic day 12 p4_3.tif,4,34,8.500,2.125,255
tumour pic day 12 p4_4.tif,6,309,51.500,19.312,255
tumour pic day 12 p4_5.tif,3,268,89.333,16.750,255
tumour pic day 12 p4_6.tif,3,239,79.667,14.938,255
tumour pic day 12 p4_7.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p4_8.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p4_9.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p4_10.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p4_11.tif,1,30,30.000,1.875,255
tumour pic day 12 p4_12.tif,0,0,NaN,0.000,NaN
