Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 3 p3_1.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p3_2.tif,1,14,14,0.875,255
tumour pic day 3 p3_3.tif,1,2,2,0.125,255
tumour pic day 3 p3_4.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p3_5.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p3_6.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p3_7.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p3_8.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p3_9.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p3_10.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p3_11.tif,1,8,8,0.500,255
tumour pic day 3 p3_12.tif,0,0,NaN,0.000,NaN
