Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 3 p1_1.tif,1,714,714,44.625,255
tumour pic day 3 p1_2.tif,1,510,510,31.875,255
tumour pic day 3 p1_3.tif,2,718,359,44.875,255
tumour pic day 3 p1_4.tif,1,669,669,41.812,255
tumour pic day 3 p1_5.tif,1,620,620,38.750,255
tumour pic day 3 p1_6.tif,2,828,414,51.750,255
tumour pic day 3 p1_7.tif,1,781,781,48.812,255
tumour pic day 3 p1_8.tif,1,767,767,47.938,255
tumour pic day 3 p1_9.tif,1,768,768,48.000,255
tumour pic day 3 p1_10.tif,1,749,749,46.812,255
tumour pic day 3 p1_11.tif,1,562,562,35.125,255
tumour pic day 3 p1_12.tif,1,424,424,26.500,255
