Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 14 p4_1.tif,5,590,118.000,36.875,255
tumour pic day 14 p4_2.tif,3,673,224.333,42.062,255
tumour pic day 14 p4_3.tif,5,564,112.800,35.250,255
tumour pic day 14 p4_4.tif,5,433,86.600,27.062,255
tumour pic day 14 p4_5.tif,5,259,51.800,16.188,255
tumour pic day 14 p4_6.tif,4,498,124.500,31.125,255
tumour pic day 14 p4_7.tif,4,504,126.000,31.500,255
tumour pic day 14 p4_8.tif,3,658,219.333,41.125,255
tumour pic day 14 p4_9.tif,4,387,96.750,24.188,255
tumour pic day 14 p4_10.tif,4,423,105.750,26.438,255
tumour pic day 14 p4_11.tif,5,349,69.800,21.812,255
tumour pic day 14 p4_12.tif,5,417,83.400,26.062,255
