Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 12 p3_1.tif,3,593,197.667,37.062,255
tumour pic day 12 p3_2.tif,3,891,297.000,55.688,255
tumour pic day 12 p3_3.tif,6,579,96.500,36.188,255
tumour pic day 12 p3_4.tif,5,588,117.600,36.750,255
tumour pic day 12 p3_5.tif,3,456,152.000,28.500,255
tumour pic day 12 p3_6.tif,4,499,124.750,31.188,255
tumour pic day 12 p3_7.tif,4,724,181.000,45.250,255
tumour pic day 12 p3_8.tif,3,450,150.000,28.125,255
tumour pic day 12 p3_9.tif,2,622,311.000,38.875,255
tumour pic day 12 p3_10.tif,3,483,161.000,30.188,255
tumour pic day 12 p3_11.tif,4,372,93.000,23.250,255
tumour pic day 12 p3_12.tif,2,443,221.500,27.688,255
