Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 12 p1_1.tif,1,1600,1600,100.000,255
tumour pic day 12 p1_2.tif,1,1588,1588,99.250,255
tumour pic day 12 p1_3.tif,1,1600,1600,100.000,255
tumour pic day 12 p1_4.tif,1,1560,1560,97.500,255
tumour pic day 12 p1_5.tif,1,1594,1594,99.625,255
tumour pic day 12 p1_6.tif,1,1600,1600,100.000,255
tumour pic day 12 p1_7.tif,1,1379,1379,86.188,255
tumour pic day 12 p1_8.tif,1,1489,1489,93.062,255
tumour pic day 12 p1_9.tif,1,1600,1600,100.000,255
tumour pic day 12 p1_10.tif,1,1589,1589,99.312,255
tumour pic day 12 p1_11.tif,1,1600,1600,100.000,255
tumour pic day 12 p1_12.tif,1,1600,1600,100.000,255
