Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 6 p5_1.tif,1,9,9,0.562,255
tumour pic day 6 p5_2.tif,1,9,9,0.562,255
tumour pic day 6 p5_3.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p5_4.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p5_5.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p5_6.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p5_7.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p5_8.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p5_9.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p5_10.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p5_11.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p5_12.tif,0,0,NaN,0.000,NaN
