Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 6 p7_1.tif,1,36,36,2.250,255
tumour pic day 6 p7_2.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p7_3.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p7_4.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p7_5.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p7_6.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p7_7.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p7_8.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p7_9.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p7_10.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p7_11.tif,1,4,4,0.250,255
tumour pic day 6 p7_12.tif,1,13,13,0.812,255
