Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 6 p3_1.tif,1,55,55.000,3.438,255
tumour pic day 6 p3_2.tif,2,19,9.500,1.188,255
tumour pic day 6 p3_3.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p3_4.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p3_5.tif,1,2,2.000,0.125,255
tumour pic day 6 p3_6.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p3_7.tif,1,28,28.000,1.750,255
tumour pic day 6 p3_8.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p3_9.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p3_10.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p3_11.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p3_12.tif,0,0,NaN,0.000,NaN
