Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 3 p2_1.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p2_2.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p2_3.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p2_4.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p2_5.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p2_6.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p2_7.tif,1,15,15,0.938,255
tumour pic day 3 p2_8.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p2_9.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p2_10.tif,0,0,NaN,0.000,NaN
tumour pic day 3 p2_11.tif,1,9,9,0.562,255
tumour pic day 3 p2_12.tif,0,0,NaN,0.000,NaN
