Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 14 p2_1.tif,1,1134,1134.000,70.875,255
tumour pic day 14 p2_2.tif,3,1153,384.333,72.062,255
tumour pic day 14 p2_3.tif,4,851,212.750,53.188,255
tumour pic day 14 p2_4.tif,2,912,456.000,57.000,255
tumour pic day 14 p2_5.tif,5,834,166.800,52.125,255
tumour pic day 14 p2_6.tif,4,767,191.750,47.938,255
tumour pic day 14 p2_7.tif,1,1163,1163.000,72.688,255
tumour pic day 14 p2_8.tif,3,1052,350.667,65.750,255
tumour pic day 14 p2_9.tif,4,942,235.500,58.875,255
tumour pic day 14 p2_10.tif,2,1048,524.000,65.500,255
tumour pic day 14 p2_11.tif,4,858,214.500,53.625,255
tumour pic day 14 p2_12.tif,3,1039,346.333,64.938,255
