Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 14 p7_1.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p7_2.tif,1,72,72.000,4.500,255
tumour pic day 14 p7_3.tif,2,2,1.000,0.125,255
tumour pic day 14 p7_4.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p7_5.tif,2,7,3.500,0.438,255
tumour pic day 14 p7_6.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p7_7.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p7_8.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p7_9.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p7_10.tif,0,0,NaN,0.000,NaN
tumour pic day 14 p7_11.tif,1,6,6.000,0.375,255
tumour pic day 14 p7_12.tif,1,40,40.000,2.500,255
