Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t1 -40um pt3_1.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt3_2.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt3_3.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt3_4.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt3_5.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt3_6.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt3_7.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt3_8.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt3_9.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt3_10.tif,0,0,NaN,0,NaN
