Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t1 -40um pt8_1.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt8_2.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt8_3.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt8_4.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt8_5.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt8_6.tif,2,2,1,0.125,255
pattern glioma t1 -40um pt8_7.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt8_8.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt8_9.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt8_10.tif,0,0,NaN,0.000,NaN
