Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t1 -40um pt2_1.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt2_2.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt2_3.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt2_4.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt2_5.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt2_6.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt2_7.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt2_8.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt2_9.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt2_10.tif,0,0,NaN,0,NaN
