Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t1 -40um pt4_1.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt4_2.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt4_3.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt4_4.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt4_5.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt4_6.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt4_7.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt4_8.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt4_9.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt4_10.tif,0,0,NaN,0,NaN
