Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t3 -40um pt1_1.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt1_2.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt1_3.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt1_4.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt1_5.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt1_6.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt1_7.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt1_8.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt1_9.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt1_10.png,0,0,NaN,0,NaN
