Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t1 -40um pt7_1.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt7_2.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt7_3.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt7_4.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt7_5.tif,4,782,195.500,48.875,255
pattern glioma t1 -40um pt7_6.tif,3,764,254.667,47.750,255
pattern glioma t1 -40um pt7_7.tif,2,11,5.500,0.688,255
pattern glioma t1 -40um pt7_8.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt7_9.tif,0,0,NaN,0.000,NaN
pattern glioma t1 -40um pt7_10.tif,0,0,NaN,0.000,NaN
