Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t3 -40um pt10_1.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt10_2.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt10_3.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt10_4.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt10_5.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt10_6.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt10_7.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt10_8.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt10_9.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt10_10.png,0,0,NaN,0,NaN
