Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t1 -40um pt9_1.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt9_2.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt9_3.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt9_4.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt9_5.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt9_6.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt9_7.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt9_8.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt9_9.tif,0,0,NaN,0,NaN
pattern glioma t1 -40um pt9_10.tif,0,0,NaN,0,NaN
