Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 6 p1_1.tif,3,1353,451,84.562,255
tumour pic day 6 p1_2.tif,1,1348,1348,84.250,255
tumour pic day 6 p1_3.tif,1,1455,1455,90.938,255
tumour pic day 6 p1_4.tif,1,1434,1434,89.625,255
tumour pic day 6 p1_5.tif,1,1571,1571,98.188,255
tumour pic day 6 p1_6.tif,1,1333,1333,83.312,255
tumour pic day 6 p1_7.tif,1,1506,1506,94.125,255
tumour pic day 6 p1_8.tif,1,1414,1414,88.375,255
tumour pic day 6 p1_9.tif,1,1406,1406,87.875,255
tumour pic day 6 p1_10.tif,1,1391,1391,86.938,255
tumour pic day 6 p1_11.tif,1,1388,1388,86.750,255
tumour pic day 6 p1_12.tif,1,1382,1382,86.375,255
