Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 6 p2_1.tif,1,319,319.000,19.938,255
tumour pic day 6 p2_2.tif,6,261,43.500,16.312,255
tumour pic day 6 p2_3.tif,2,346,173.000,21.625,255
tumour pic day 6 p2_4.tif,3,95,31.667,5.938,255
tumour pic day 6 p2_5.tif,1,344,344.000,21.500,255
tumour pic day 6 p2_6.tif,3,123,41.000,7.688,255
tumour pic day 6 p2_7.tif,2,245,122.500,15.312,255
tumour pic day 6 p2_8.tif,3,262,87.333,16.375,255
tumour pic day 6 p2_9.tif,1,20,20.000,1.250,255
tumour pic day 6 p2_10.tif,1,4,4.000,0.250,255
tumour pic day 6 p2_11.tif,3,84,28.000,5.250,255
tumour pic day 6 p2_12.tif,0,0,NaN,0.000,NaN
